Kod obce,Nazev obce,Volici v seznamu,Vydane obalky,Platne hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍ-stop migraci\,diktát.EU,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
540854,Rájec,396,295,295,18,0,0,20,0,10,17,2,0,1,0,0,13,0,2,97,0,0,73,0,1,1,2,38,0
540862,Rapotín,2579,1569,1563,111,5,1,99,2,173,117,13,10,15,4,1,102,1,44,589,1,3,68,0,4,2,3,192,3
553395,Rejchartice,153,100,100,1,0,0,5,0,7,7,2,2,1,0,0,6,0,4,34,0,0,5,0,0,0,0,26,0
540871,Rohle,552,290,288,19,0,1,19,0,26,27,2,1,2,1,0,19,0,6,101,1,0,25,0,0,1,0,37,0
540919,Rovensko,642,447,444,23,0,0,16,0,50,44,2,2,5,0,0,30,0,10,125,0,0,65,0,0,0,1,68,3
540978,Ruda nad Moravou,2034,1216,1209,91,2,1,74,0,80,134,12,13,11,1,0,79,2,39,393,0,0,124,1,6,9,3,127,7
540986,Sobotín,972,527,526,40,0,0,32,1,28,45,3,4,6,4,1,49,1,8,187,1,0,22,0,0,0,4,88,2
541079,Staré Město,1477,737,726,55,5,0,56,1,35,79,1,5,4,0,2,52,0,14,256,0,0,67,1,2,2,1,86,2
570281,Stavenice,122,73,73,3,0,0,5,0,0,11,2,1,0,0,0,4,0,1,25,0,2,1,0,0,0,0,18,0
541109,Sudkov,918,511,507,37,1,0,15,1,70,50,5,2,6,0,0,23,0,3,190,2,0,25,0,2,2,0,71,2
541125,Svébohov,345,262,262,10,0,1,13,4,32,16,3,4,5,0,0,8,0,4,81,0,0,49,0,1,1,0,30,0
